mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,cov_xy,cov_yz,cov_xz,Activity
-9.532835760643565,3.0862197228891652,-9.49745,10.018789033516102,-2.5427044970148516,1.378918695056498,-2.17707275,2.8917220560711567,0.22916305578217822,3.6829783524596422,-0.938847675,3.685548829915479,1.9892218294524282,0.35490931466974035,7.181645529358643,stairs
-10.55340158490099,2.2813185414821655,-10.306966,10.796565059606579,-2.255954259217822,1.3400417063259973,-2.0603155,2.623089126059319,-1.48853723934901,1.5651604764776317,-1.5298186999999999,2.158565900911626,1.1648542382476372,-0.08866693237354777,1.051475056492019,stairs
-10.426112814851486,1.8039511959741492,-10.314151,10.580643330921154,-2.0460165669269803,1.2265603058129602,-1.96571225,2.3847243214556464,-1.4533559460618812,1.5652851798643765,-1.4867084,2.1345483251728696,0.2958927834645511,-0.2853130337996272,0.6534788495391665,stairs
-10.525968551732673,1.6790240551419275,-10.306966,10.658712760254314,-2.016633118394802,1.3461176476109242,-1.8836829,2.4237072071329835,-1.4542392616955446,1.5337184586472714,-1.5399975499999998,2.112174622263359,0.30237693261373555,-0.43081088434153425,0.7169534154792427,stairs
-10.59244220420792,1.706209715834348,-10.338102,10.728642860264966,-1.818534174408911,1.33140289298717,-1.71902525,2.2528454229839974,-1.3640821905717821,1.4575928704798775,-1.4346166999999999,1.9950033445605317,0.1167528218168026,-0.9201185182559638,0.8233368171362402,stairs
-10.35323371881188,1.8124983939534045,-10.1123715,10.510302912093515,-1.9136620994336633,1.271604507355954,-1.8525475500000002,2.296753846864637,-1.1535012840049506,1.245667751940435,-1.2927118000000002,1.6965885029014331,0.24244905519776827,-1.0622162280870322,0.8139110236874736,stairs
-10.162966042326733,1.8163692804352392,-10.062076000000001,10.323609340259292,-2.007500625613119,1.115222313872316,-2.1058208499999997,2.2958007436057986,-1.4167192627351486,1.2907240612043627,-1.4926959499999999,1.915447307267382,0.038451244959487464,-0.7682565840308028,0.6859636390355903,stairs
-10.176550661881189,1.872454685537647,-9.9992065,10.346960495293938,-1.9034980890586632,1.2620809877009311,-1.9573296999999998,2.283026653470876,-1.6796645439727722,1.3335599364920014,-1.75794435,2.143654157879551,0.07571538794791702,-0.3704819089917523,0.9040993144599521,stairs
-10.110574990346535,1.865861770991298,-9.948312000000001,10.28088271296573,-1.9055878031138613,1.2449918163407652,-1.94355835,2.2753972956444244,-1.5779325356311882,1.4961433613460309,-1.68669255,2.1731947311187807,0.19051657862595953,-0.30410452719460296,1.0934728720787956,stairs
-10.325382723267326,1.7548751844660393,-10.02675,10.47308419497897,-1.9964266247079208,1.3353093039420143,-2.04594555,2.4009074768965943,-1.634944669460396,1.5227357716137575,-1.7794994499999999,2.232941756055863,0.15528128940425492,-0.5694288875101233,1.0556432063078722,stairs
-10.577331063118812,1.681602279521739,-10.551857,10.709842163844115,-1.7638340679596534,1.408581515196759,-1.6938775499999998,2.2561696214977958,-1.4129222130915842,1.5705369001048741,-1.568139,2.1111205374314626,0.23165004324593133,-0.7744085451178732,1.1738783147036453,stairs
-10.499472161881188,1.6394244712940678,-10.515932,10.626381111236444,-1.7189926628284653,1.4306334733461468,-1.71004395,2.2353035120024245,-1.26210415725,1.5611379507187622,-1.41845035,2.0059975202393274,0.44371009137638856,-1.1409880691557739,1.101109556232527,stairs
-10.353052876732674,1.7310157214106872,-10.338102,10.49641378882916,-1.6648616662690594,1.4251648032436912,-1.63280455,2.1903953118210193,-1.3047906319752476,1.4635583422369722,-1.4681469,1.95938246055887,0.2450691765088979,-0.9629357481969196,0.7058668981720458,stairs
-10.231576803960396,1.6914179332513388,-10.156679,10.370100148886014,-1.7201546044341585,1.4309300600112551,-1.7172290000000001,2.236386478207013,-1.534659154970297,1.4912402594665026,-1.6998651,2.138567694533444,0.11907264583814377,-0.4855926649578919,0.7308263537254119,stairs
-10.222533230445544,1.8555101918264845,-9.993817499999999,10.38915692657974,-1.6058220593532178,1.411335454580542,-1.58550295,2.1367269095290684,-1.4302594249252476,1.4987469381683496,-1.55197265,2.0703440297095206,0.4129514809030692,-0.013491479365028203,0.9439912914243029,stairs
-10.25406864579208,1.7783796243484682,-10.048903,10.406763645760158,-1.6525012264027228,1.2826021014710287,-1.63160705,2.0908745785178837,-1.3093524352668318,1.4623062121172892,-1.4406043,1.9614918654650366,0.21630764346509596,-0.11318563374863759,0.7649144255976509,stairs
-10.48294120420792,1.7112386707179448,-10.28840525,10.62135329033824,-1.6302613324373763,1.360506630727665,-1.5064673000000002,2.122297970327956,-1.2225744775272278,1.4602120836948653,-1.2531940000000001,1.9030580421658783,0.580676719217085,-0.26297053424039823,0.7951926158268093,stairs
-10.377918983415842,2.009111033943641,-10.381810999999999,10.570134255023845,-1.4987901732227722,1.2536368744496795,-1.39629635,1.9529688384407835,-0.8879772045024752,1.3239734889686903,-0.8520282299999999,1.5928183950051056,0.9161056559747325,-0.5333452856166199,0.9879123223126214,stairs
